"genotype","percent_swelling_power","percent_soluble","percent_wac","percent_bulk_density","percent_starch","color_l","color_a","color_b","hardness_g","resilience_percent","springiness_percent","adhesiveness_g_sec_1","cohesiveness","gumminess","chewiness"
"Akpu",9.52468455167979,4.35434120216599,381.242088811991,0.760140307790902,72.3185919952584,91.5872147574049,1.92850791446458,26.7684042393222,247.287590438236,5.13702438224267,6.00446237917442,-81.8576551873731,0.30268803039029,58.8476268041506,4.22400786033055
"IITATMSIBA920326",7.12267390481078,8.33442031786012,423.350181011813,0.695329197664448,77.4203735176673,70.5015992422097,-4.23134903511475,40.6840746525421,742.717761862103,8.49815248149849,32.1106902840622,-314.522615457275,0.314874116105046,246.535035839365,83.1605898602725
"Madame",6.79873022778166,6.2561290576711,427.425317169239,0.71180257769673,76.9053132369141,72.8605751604329,-5.20787140107769,42.5651798867968,644.926535558675,6.35535730654511,17.8476308208987,-133.669554058678,0.258992064824307,158.136734376798,31.3322437203604
"Sape",7.53517830211164,8.03143576723641,419.387978236653,0.72293281389459,76.0890940895153,71.7271958100634,-4.65579025244667,43.4207282974001,598.612773439478,7.78873885687094,27.9678436542419,-185.70392035954,0.307630456365264,191.948973348678,56.7683318033284
"TMEB1_MS6",9.47407768516555,4.30545238467195,460.570971655518,0.684724529669037,72.9084539992569,91.7238301029842,2.19016977362772,34.2469504365449,353.475604529671,5.95698899015474,14.822322687278,-160.319890893277,0.281067649321676,95.9595187658717,17.4288742361948
"TMEB2",9.27545565940622,4.29836177105544,363.862260323245,0.717706595709515,72.8188011010929,87.961516367079,3.26880408462994,26.0262865431738,274.98817009394,4.78929129939188,7.74496860475595,-88.8971267775966,0.291878895775244,61.8255632200296,5.61065025084284
"TMEB3",9.34102004344474,3.39400649749621,462.882266053007,0.694141314432619,73.3598879447796,91.4767772025953,2.08129137439909,35.4762764532447,365.818470537036,5.77333326171805,12.4396947146896,-113.689471625596,0.303536902849635,98.7829867807998,12.6846653331897
"TMS13F1160P0004",8.58069405857559,5.99519478440587,391.934377852416,0.67660878956797,74.0197500043872,81.5313545071056,-1.24869793438704,36.2783771354228,393.0193858454,5.36210932970218,12.6756091851696,-84.0968629014806,0.247694270433713,94.5222109414216,14.3063965586001
"TMS13F1307P0016",7.99898355286282,6.05467028160077,436.236418708504,0.663793564874815,75.4903299572313,80.6086347561784,-0.885415451363992,35.8320302269422,439.348971159548,5.29042826168343,14.1198764728922,-184.847102522778,0.257686279402361,109.366809445869,18.8003235984494
"TMS13F1343P0022",8.58308574078282,6.19225831921283,384.344176863693,0.675167939904114,75.6438011682559,79.5069906855762,-0.982034834783595,34.7158048529089,441.379456443089,6.39659959131645,17.4540049083442,-158.010887575071,0.278868374588928,125.728614420365,29.5553939323428
"TMS13F1343P0044",8.59724677462826,6.10552349169122,427.853954412674,0.706319014143192,75.5011505740094,80.4319504290844,-1.12872353444548,37.768763426066,384.258226257803,5.67985128906951,10.8712753144578,-92.3670703431026,0.280661798169595,95.6954152652332,14.7319325004881
"TMS14F1278P0003",9.6602824978322,3.74719423093115,385.77906026798,0.720104957369998,73.6741051717793,90.8329671608532,2.37255647064064,31.6029754670592,322.405866335902,5.18282273536421,13.1434783873127,-112.369942123766,0.273344573545407,78.48136680601,12.8184348148628
"TMS30572",9.09863592139135,5.0219593418532,530.910353406802,0.646062075329821,73.4220680435405,90.6767602143094,1.58334916167469,35.2290121491392,350.981685999957,5.26799890412042,6.49534956499115,-89.4010552494552,0.326231992460959,83.2793440323105,6.08564679629792
