"genotype","percent_swelling_power","percent_soluble","percent_wac","percent_bulk_density","percent_starch","percent_amylose","breakdown","final_visc","setback","peak_time","pasting_temp","color_l","color_a","color_b","hardness_g","resilience_percent","springiness_percent","adhesiveness_g_sec_1","cohesiveness","gumminess","chewiness","bulk_density_ml_g","percent_mc","p_h"
"TMS14F1278P0003",9.87217985625873,2.78498702335785,422.285090331546,0.74971,71.9533635606551,22.4638783269962,120.25,426.42,161.25,5.27,79.95,87.472,3.232,33.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1278P0003",9.03809047619048,3.77976190476191,421.8712514994,0.7493,71.5369667807903,22.5171102661597,135,438.33,153.17,5.4,79.15,86.526,3.04,33.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEB1_MS6",10.5423141029456,3.4017653476148,380.848303393213,0.8995,70.2821710999281,14.958174904943,125.5,443.08,142.75,5.27,79.9,94.512,2.616,37.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEB1_MS6",10.0983194635557,3.28048658889218,372.441651705566,0.89913,71.0280373831776,14.958174904943,118.5,416.08,173.58,4.67,79.95,95.733,2.464,36.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEB3",9.6827259968102,2.78110047846897,375.431976166832,0.69988,74.2921596611574,23.1026615969582,205.5,518.5,173.33,5.2,79.1,89.826,2.632,40.929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEB3",9.62471094015386,2.97732041162969,360.924243936521,0.69912,73.8778140969569,23.2091254752852,136.67,470.83,201.5,5.2,80.75,89.54,2.528,40.6035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS13F1343P0022",9.58880191540303,3.53152434158013,395.950372208437,0.74953,70.2821710999281,18.8973384030418,75.25,502,190.5,5.2,81.45,74.734,4.552,24.4545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS13F1343P0022",9.68115399580964,3.44208320862013,393.302952248861,0.74943,70.8887491013659,18.7908745247148,95.58,479.5,192.17,4.93,80.7,74.624,4.408,24.234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS13F1160P0004",9.85794527363184,3.28358208955219,391.574147501983,0.69941,72.0420560747664,21.7718631178707,107.42,514.33,203.17,5.33,80.8,90.552,2.576,36.6975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS13F1160P0004",9.24067458033573,4.1067146282972,399.900109879133,0.74917,71.6836378853397,21.9315589353612,64.5,468,192.75,5.67,91.2,90.783,2.424,36.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1278P0003",9.63093636272845,3.33566363727158,305.062661627213,0.69939,72.3113404937927,19.8022813688213,132.58,462.83,173.92,4.73,79.25,93.082,2.68,33.9255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1278P0003",9.64423917813684,3.29144225014974,312.96111665005,0.69924,72.3113404937927,19.9619771863118,144.25,457.83,167.58,4.8,79.1,93.698,2.304,32.6865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEB1_MS6",10.7255079800499,3.1221945137157,333.929992044551,0.59965,72.3605956267048,20.6007604562738,123.42,424.33,152.33,5.27,80.7,95.601,2.448,37.1805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEB1_MS6",10.1195163803436,3.34598481821815,339.265143992056,0.59959,72.4502234863877,20.4942965779468,147,448.08,178.42,5.27,80.75,94.578,2.392,36.8445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEB3",9.35109540333034,2.97138298933092,381.899463540632,0.59971,72.7298088994281,22.1977186311787,160.75,500.67,165.17,5.27,79.85,92.268,1.976,38.2515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMEB3",9.59871568082573,3.05676855895189,384.453109378124,0.6496,73.3575115078812,22.3574144486692,166.17,500.08,185.08,5,80,93.159,2.176,38.892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS13F1343P0022",9.96063727028906,3.35750471838675,344.062064849811,0.59943,72.7298088994281,20.9201520912548,114.5,446.83,161.92,5.4,82.35,85.294,3.384,28.4025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
