"id","option_a","option_b","option_c","gender","age","latitude","longitude","marital_status","occupation","consumption","colour_pos","colour_neg","smoothness_pos","smoothness_neg","mouldability_pos","mouldability_neg","stretchability_pos","stretchability_neg","taste_pos","taste_neg","reason_like","reason_dislike","overall_pos","overall_neg","unique_row_identifier_uuid","technology","country","package_project_name","occupation_oth","consumptionform","odour_pos","odour_neg","firmness_pos","firmness_neg"
"Osun-pkg1","TMS14F1278P0003","TMS13F1160P0004","TMS30572","Male",24,7.19959,8.14532,"Single","Student","Once a week","C","B","C","A","B","C","B","C","A","C","Less sour","Sweet","B","C","5023621b-7eca-4654-82ff-680d7a8b6b50","cassava-eba","Nigeria",NA,NA,NA,NA,NA,NA,NA
"Osun-pkg10","TMS13F1307P0016","TMS14F1278P0003","TMS13F1343P0022","Female",29,7.29546,8.48351,"Married","Teaching","Several times a week","A","C","C","B","B","A","B","A","A","B","Moderately sweet","Sour","A","C","918f0f63-5798-4cd6-9d31-37f85905574a","cassava-eba","Nigeria",NA,NA,NA,NA,NA,NA,NA
"Osun-pkg100","TMS13F1160P0004","Akpu","TMS13F1343P0044","Male",41,7.182305,8.013462,"Married","Teaching and farming","Several times a week","A","B","A","B","A","C","C","B","A","B","Moderately sour","Bland","A","B","96f96e32-a271-428e-850a-96d91ca1f795","cassava-eba","Nigeria",NA,NA,NA,NA,NA,NA,NA
"Osun-pkg101","TMS30572","TMEB2","TMS13F1307P0016","Female",52,7.19959,8.14532,"Widow(er)","Farming","Several times a week","A","C","C","B","A","B","B","C","A","B","Moderately sour","Bland","A","B","e3b8b015-8296-40de-ae3f-18af4e13f733","cassava-eba","Nigeria",NA,NA,NA,NA,NA,NA,NA
"Osun-pkg102","TMEB2","TMS13F1343P0044","TMS13F1343P0022","Female",40,7.19959,8.14532,"Married","Trading","Several times a week","C","B","C","A","C","A","C","A","C","A","Moderately sour","Bland","C","A","4c3fbaa1-05f3-4810-af34-46d8735c590b","cassava-eba","Nigeria",NA,NA,NA,NA,NA,NA,NA
"Osun-pkg103","TMS13F1343P0022","Akpu","TMS13F1160P0004","Female",23,7.19959,8.14532,"Married","Farmer and trader","Several times a week","A","B","A","B","B","C","A","B","A","B","Sour","Bland","A","B","3f227e91-8e62-441c-869d-76c999cff367","cassava-eba","Nigeria",NA,NA,NA,NA,NA,NA,NA
"Osun-pkg104","TMS13F1307P0016","TMS30572","TMS14F1278P0003","Female",35,7.19959,8.14532,"Married","Farming","Several times a week","B","A","B","A","C","B","A","C","A","B","Sour","Bland","A","B","834f589e-6415-4672-b808-e29c029ae67b","cassava-eba","Nigeria",NA,NA,NA,NA,NA,NA,NA
"Osun-pkg105","Akpu","TMS13F1343P0022","TMEB2","Female",56,7.19959,8.14532,"Married","Trader","Several times a week","B","C","B","C","B","A","B","A","A","B","Sweet","Sour","A","C","004be69d-c3ae-42c7-9571-9150cee8b094","cassava-eba","Nigeria",NA,NA,NA,NA,NA,NA,NA
"Osun-pkg106","TMS13F1343P0044","TMS13F1307P0016","TMS13F1160P0004","Female",32,7.19959,8.14532,"Married","Farming","Several times a week","C","B","B","C","A","C","A","C","B","C","Moderately sour","Sour","B","C","d82b043c-5444-4c14-ae20-91912894afe7","cassava-eba","Nigeria",NA,NA,NA,NA,NA,NA,NA
"Osun-pkg107","TMS14F1278P0003","TMS30572","TMS13F1343P0022","Female",35,7.19959,8.14532,"Married","Trader","Several times a week","A","C","A","C","B","A","A","C","A","C","Sour","Sweet","A","C","ef837f24-0aef-4955-ba8c-47b613dcddcd","cassava-eba","Nigeria",NA,NA,NA,NA,NA,NA,NA
"Osun-pkg108","TMS30572","TMS13F1343P0044","TMS14F1278P0003","Male",27,7.19959,8.14532,"Single","Carpentry and farming","Several times a week","C","B","A","C","A","C","A","C","A","B","Sweet","Sour","A","B","719e4cbf-29a8-4b26-9ce1-a1baef28ed57","cassava-eba","Nigeria",NA,NA,NA,NA,NA,NA,NA
"Osun-pkg109","TMEB2","TMS13F1307P0016","Akpu","Male",51,7.19959,8.14532,"Married","Farming","Several times a week","A","C","B","C","A","C","A","C","A","C","Moderately sour","Bland","A","C","4c2ce1d5-e39d-4b5d-ad5d-9416a70648aa","cassava-eba","Nigeria",NA,NA,NA,NA,NA,NA,NA
