"","cohesivenessAverage","cohesivenessSD","adhesiveness_g_sec_1Average","adhesiveness_g_sec_1SD","hardness_gAverage","hardness_gSD","gumminessAverage","gumminessSD","chewinessAverage","chewinessSD","resilience_percentAverage","resilience_percentSD","springiness_percentAverage","springiness_percentSD","percent_swelling_powerAverage","percent_swelling_powerSD","percent_solubleAverage","percent_solubleSD","color_lAverage","color_lSD","color_aAverage","color_aSD","color_bAverage","color_bSD"
"TMS3",0.267588563421574,0.0937836404731859,-107.742618471608,48.3882124354288,320.234149308774,90.3413487335896,77.7627045873698,32.8760667475356,12.5410084318792,12.4036750064167,5.12725469137946,0.941640867355444,13.0348924750928,10.1813272520859,9.71504313037657,0.294132194739173,3.54272792034791,0.611047273323941,91.7546666666667,2.93030260098396,2.603,0.432525353959952,30.796125,3.23857969097145
"TMEB1",0.278677884364236,0.0489572263136758,-164.202645319691,205.727556355324,351.945120390448,57.0392181897281,95.5818625154223,26.6624692985083,17.2694857821015,17.5791640458839,5.95678084479567,1.26369258734793,14.817533471304,11.6870951257744,9.51936517132052,0.798573011245234,4.16446119881954,1.80253210655749,92.7529166666667,2.25776882858572,2.40533333333333,0.160629066391164,33.99725,3.81725010791324
"TMEB3",0.310940776886825,0.115430403567625,-109.296335900135,113.873272583117,364.542724676121,30.2180691876367,98.4604175582181,29.6895725270408,12.4038141416092,11.9026740961532,5.75999206845697,1.15799730387162,12.2875964767039,9.97873606066216,9.37953823883757,0.287079233921624,3.14938199973208,0.577926421880216,92.4760833333333,2.2072802457625,2.28733333333333,0.280352159494685,35.485625,3.99151306538465
"Obasanjo-2",0.276859358916292,0.0614389043207011,-160.094661363151,182.550161235835,441.549688311477,134.643733928437,125.850505085695,58.6034969311287,29.6460410564716,30.9296763555196,6.41533638774932,2.2034320711011,17.5487556504524,13.629729025192,8.58306493239131,1.08919792218444,6.22902962533263,2.64863435070683,79.2852083333333,11.8809788426315,-1.00733333333333,4.32424263956096,34.6403541666667,11.5802782636079
"Game Changer",0.238016459970573,0.030842948465,-78.5853296032037,30.090092995541,392.611180310481,96.4197888429587,94.2903831013519,30.8912794930706,14.1696359211127,13.694155247305,5.33768222756457,0.994010887488532,12.5970305999746,9.77267982613564,8.58061241191856,0.897843979950823,6.02076282160076,2.35281600860485,81.4315833333333,12.1650751884474,-1.28516666666667,4.15279434123335,36.3675625,10.1934127294057
"TMS1",0.250497155561543,0.0460147318135677,-189.553276022222,226.81588447197,439.487150361739,161.298335273945,109.300481178295,42.2586246654383,18.7293086421238,16.3980891804742,5.26307210494079,0.941576503673056,14.0923228433644,9.91750879458098,7.98410468185388,1.03651631389029,6.08361956327689,2.40518727697634,80.45325,14.083482296185,-0.906666666666667,3.86747298314575,35.8741875,11.317336109024
"TMS2",0.279195133783762,0.107790905418972,-87.6942700851881,72.7855589856088,383.746696597584,140.859596531844,95.476667254435,48.1881894621039,14.6013974091901,21.528181349145,5.66840785995773,1.61014559369628,10.7289508724226,10.4157244927407,8.5975861866433,0.989645020489519,6.13736383177089,2.36929624302306,80.2659166666667,14.0088624834321,-1.16016666666667,3.85409329174182,38.0149791666667,9.51082805506573
"TMS6",0.360823888177584,0.167001672507501,-71.9934473812875,15.780178133214,347.817776230918,43.7879651587937,82.0292406322621,14.9759570077322,5.18604409187955,1.92030901415602,5.16904455111674,1.23293047179655,5.45611960450106,1.10780170569797,9.15100978882119,0.152332516303986,4.9029136623322,3.15784323030764,92.4825,2.79021889822286,1.912,0.108635169259315,35.1435,3.10108216595433
"TMEB2",0.294201412190057,0.14242874633969,-80.1038864467786,43.205857965293,271.837822796116,41.9460120421154,60.781939389837,9.47045463751894,5.14868788677953,5.64173879369325,4.7055821936305,0.990892567821337,7.30261292002523,7.93801943049252,9.31063827501981,0.29290076107738,4.15656436754062,0.226770865151079,88.5370833333333,7.83022439546488,3.57433333333333,1.23593125237857,24.0442916666667,6.95437500772759
"Akpu",0.309721907693546,0.177014437446809,-71.8150610115146,10.2807500719372,243.565544641425,48.5691836287904,57.7459022037484,9.55956482058978,3.72654423902695,2.59515260095326,5.0781813412268,2.0845039965655,5.45449767077516,3.18924207525318,9.57254665579405,0.429003657211254,4.21890877755617,0.424086406952284,92.5998333333333,2.55075328742968,2.12175,0.496439527581612,24.9427916666667,5.3119350414392
"Sape",0.321412643738183,0.0330692842249825,-198.285725727188,210.898755189696,603.905943559891,33.0327406099906,194.191679867839,22.8839049103996,58.0400209826985,17.5888433794723,7.98490669651022,1.00647230942229,29.1797678025002,6.99048561510301,7.4818245263843,0.440850916312281,8.31409671860487,0.539255278256775,70.3458333333333,9.34171918996939,-5.01416666666667,1.7875959393622,45.1041666666667,9.1483107813145
"TMSIBA",0.332302927047388,0.030397398214145,-358.640827892458,261.276283926596,751.898314327971,95.4130438853817,250.149343112149,41.0035721225511,85.3114073586283,23.8999864550118,8.75439915286133,0.993553439391847,33.6129296593374,4.21853261263482,7.04833401983127,0.167301201609573,8.65153124906943,0.69688321007128,68.9725,8.21196590902015,-4.55416666666667,2.41805127524148,41.7908333333333,11.4853910831688
"Madame",0.2420342068899,0.0244693908043467,-132.473643175554,141.888222004424,651.257773398433,99.9069046153478,159.31618885635,37.0514867392452,31.609754323722,18.8888107486731,6.39528031431979,2.48531468902925,18.1049310501346,8.97156132014803,6.70790974903837,0.0600831246827845,6.33693390703724,0.34774997746176,71.6158333333333,8.72417691698122,-5.6125,2.15461080645037,44.0683333333333,9.63067148922303
